,COMMUNITY_AREA,total_listed_normalized,median_income,poverty_rate,white_listed,white_present,black_listed,black_present,native_listed,native_present,hispanic_listed,hispanic_present,asian_listed,asian_present,unknown_listed,unknown_present,white_percentages,black_percentages,asian_percentages,native_percentages,unknown_percentages,hispanic_percentages
64,SOUTH LAWNDALE,6.043789728584401,37251,22.5,230,3056,599,10374,3,63,3952,65457,5,115,3,223,7.526178010471204,5.774050510892616,4.3478260869565215,4.761904761904762,1.345291479820628,6.037551369601418
65,SOUTH SHORE,11.322822534128052,30686,31.4,83,724,5712,49338,2,130,74,893,7,127,11,798,11.464088397790055,11.577283229964733,5.511811023622047,1.5384615384615385,1.3784461152882206,8.286674132138858
66,UPTOWN,5.666938717575672,45697,24.9,785,29098,1690,11275,27,191,596,8009,88,6424,8,1365,2.6977799161454397,14.98891352549889,1.36986301369863,14.136125654450261,0.5860805860805861,7.44162816831065
67,WASHINGTON HEIGHTS,9.508171969954327,45366,16.4,63,121,2423,25793,0,36,26,258,3,16,4,269,52.06611570247934,9.394021633776607,18.75,0.0,1.486988847583643,10.077519379844961
68,WASHINGTON PARK,19.313817530084492,20228,52.6,33,87,2188,11370,0,13,37,104,3,12,2,131,37.93103448275862,19.243623570800352,25.0,0.0,1.5267175572519085,35.57692307692308
69,WEST ELSDON,3.64459660942073,48741,12.4,88,3250,73,255,2,15,495,14314,1,222,1,53,2.707692307692308,28.627450980392158,0.45045045045045046,13.333333333333334,1.8867924528301887,3.458152857342462
70,WEST ENGLEWOOD,19.174764117729897,27489,40.2,93,130,6538,34178,1,67,165,774,7,19,4,337,71.53846153846153,19.12926443911288,36.8421052631579,1.492537313432836,1.1869436201780414,21.31782945736434
71,WEST GARFIELD PARK,43.4698072329315,22242,38.4,575,133,6836,17315,2,22,390,348,13,9,9,174,432.3308270676692,39.480219462893444,144.44444444444446,9.090909090909092,5.172413793103448,112.06896551724138
72,WEST LAWN,5.6303402788187675,46558,16.7,169,4924,635,1390,3,28,1059,26669,7,213,5,131,3.4321689683184404,45.68345323741007,3.2863849765258215,10.714285714285714,3.816793893129771,3.9709025460272227
73,WEST PULLMAN,12.19183164142862,38675,25.9,70,166,3443,27593,1,45,95,1509,5,16,1,322,42.16867469879518,12.477802341173486,31.25,2.2222222222222223,0.3105590062111801,6.295559973492379
74,WEST RIDGE,3.1080592699674736,50060,17.0,625,30706,687,8015,9,189,726,14701,172,16187,17,2144,2.035432814433661,8.571428571428571,1.0625810835855933,4.761904761904762,0.792910447761194,4.938439561934563
75,WEST TOWN,5.281142078894888,65853,17.4,1169,47051,1158,6404,6,121,1903,23901,85,3134,22,1625,2.4845380544515527,18.082448469706435,2.712188895979579,4.958677685950414,1.353846153846154,7.962009957742354
76,WOODLAWN,14.633529907329402,27519,33.6,46,1623,3379,20605,0,32,40,504,6,544,3,432,2.8342575477510783,16.398932297985926,1.1029411764705883,0.0,0.6944444444444444,7.936507936507937
